ImmGenATAC1219.peak_19	human531027
ImmGenATAC1219.peak_265106	human572378
ImmGenATAC1219.peak_265110	human572380
ImmGenATAC1219.peak_265113	human572381
ImmGenATAC1219.peak_265117	human572386
ImmGenATAC1219.peak_265119	human572391
ImmGenATAC1219.peak_265131	human572415
ImmGenATAC1219.peak_265134	human572421
ImmGenATAC1219.peak_265135	human572422
ImmGenATAC1219.peak_265141	human572428
ImmGenATAC1219.peak_265144	human572434
ImmGenATAC1219.peak_265145	human572437
ImmGenATAC1219.peak_265151	human572449
ImmGenATAC1219.peak_265158	human572456
ImmGenATAC1219.peak_265164	human572462
ImmGenATAC1219.peak_265166	human572463
ImmGenATAC1219.peak_265168	human572464
ImmGenATAC1219.peak_265171	human572467
ImmGenATAC1219.peak_265181	human572475
ImmGenATAC1219.peak_265182	human572476
ImmGenATAC1219.peak_265188	human572482
ImmGenATAC1219.peak_265189	human572483
ImmGenATAC1219.peak_265190	human572485
ImmGenATAC1219.peak_265192	human572486
ImmGenATAC1219.peak_265194	human572489
ImmGenATAC1219.peak_265197	human572490
ImmGenATAC1219.peak_265198	human572491
ImmGenATAC1219.peak_265200	human572493
ImmGenATAC1219.peak_265209	human572501
ImmGenATAC1219.peak_265210	human572502
ImmGenATAC1219.peak_265211	human572503
ImmGenATAC1219.peak_265216	human572507
ImmGenATAC1219.peak_265218	human572510
ImmGenATAC1219.peak_265229	human572518
ImmGenATAC1219.peak_265232	human572522
ImmGenATAC1219.peak_265233	human572526
ImmGenATAC1219.peak_265239	human572536
ImmGenATAC1219.peak_265240	human572539
ImmGenATAC1219.peak_265255	human572568
ImmGenATAC1219.peak_265256	human572569
ImmGenATAC1219.peak_265257	human572570
ImmGenATAC1219.peak_265265	human572578
ImmGenATAC1219.peak_265270	human553798
ImmGenATAC1219.peak_265277	human572590
ImmGenATAC1219.peak_265281	human572595
ImmGenATAC1219.peak_265285	human572598
ImmGenATAC1219.peak_265286	human572600
ImmGenATAC1219.peak_265287	human572601
ImmGenATAC1219.peak_265297	human572615
ImmGenATAC1219.peak_265299	human572617
ImmGenATAC1219.peak_265300	human572618
ImmGenATAC1219.peak_265303	human572621
ImmGenATAC1219.peak_265307	human572627
ImmGenATAC1219.peak_265308	human572629
ImmGenATAC1219.peak_265310	human572634
ImmGenATAC1219.peak_265312	human572637
ImmGenATAC1219.peak_265313	human572638
ImmGenATAC1219.peak_265315	human572639
ImmGenATAC1219.peak_265316	human572644
ImmGenATAC1219.peak_265320	human572647
ImmGenATAC1219.peak_265322	human572652
ImmGenATAC1219.peak_265326	human572661
ImmGenATAC1219.peak_265327	human572662
ImmGenATAC1219.peak_265328	human572665
ImmGenATAC1219.peak_265332	human572677
ImmGenATAC1219.peak_265336	human572681
ImmGenATAC1219.peak_265338	human572682
ImmGenATAC1219.peak_265339	human572683
ImmGenATAC1219.peak_265342	human572685
ImmGenATAC1219.peak_265343	human572686
ImmGenATAC1219.peak_265360	human572697
ImmGenATAC1219.peak_265361	human572700
ImmGenATAC1219.peak_265362	human572701
ImmGenATAC1219.peak_265382	human572724
ImmGenATAC1219.peak_265383	human572725
ImmGenATAC1219.peak_265384	human572726
ImmGenATAC1219.peak_265388	human572736
ImmGenATAC1219.peak_265392	human571604
ImmGenATAC1219.peak_265394	human571601
ImmGenATAC1219.peak_265395	human571600
ImmGenATAC1219.peak_265396	human571599
ImmGenATAC1219.peak_265403	human571597
ImmGenATAC1219.peak_265404	human571596
ImmGenATAC1219.peak_265406	human571593
ImmGenATAC1219.peak_265408	human571588
ImmGenATAC1219.peak_265410	human571586
ImmGenATAC1219.peak_265415	human571574
ImmGenATAC1219.peak_265416	human571573
ImmGenATAC1219.peak_265418	human571572
ImmGenATAC1219.peak_265420	human571566
ImmGenATAC1219.peak_265421	human571565
ImmGenATAC1219.peak_265423	human571563
ImmGenATAC1219.peak_265425	human571561
ImmGenATAC1219.peak_265426	human571560
ImmGenATAC1219.peak_265427	human571558
ImmGenATAC1219.peak_265429	human571557
ImmGenATAC1219.peak_265430	human571552
ImmGenATAC1219.peak_265433	human571543
ImmGenATAC1219.peak_265435	human571542
ImmGenATAC1219.peak_265437	human571535
ImmGenATAC1219.peak_265443	human571514
ImmGenATAC1219.peak_265453	human571503
ImmGenATAC1219.peak_265454	human571500
ImmGenATAC1219.peak_265455	human571499
ImmGenATAC1219.peak_265458	human571496
ImmGenATAC1219.peak_265460	human571495
ImmGenATAC1219.peak_265463	human571493
ImmGenATAC1219.peak_265466	human571492
ImmGenATAC1219.peak_265468	human571488
ImmGenATAC1219.peak_265469	human571486
ImmGenATAC1219.peak_265470	human571485
ImmGenATAC1219.peak_265472	human571484
ImmGenATAC1219.peak_265473	human571483
ImmGenATAC1219.peak_265481	human571472
ImmGenATAC1219.peak_265487	human571467
ImmGenATAC1219.peak_265489	human571464
ImmGenATAC1219.peak_265490	human571463
ImmGenATAC1219.peak_265491	human571462
ImmGenATAC1219.peak_265492	human571461
ImmGenATAC1219.peak_265503	human571456
ImmGenATAC1219.peak_265504	human571455
ImmGenATAC1219.peak_265507	human571454
ImmGenATAC1219.peak_265518	human571448
ImmGenATAC1219.peak_265519	human571447
ImmGenATAC1219.peak_265522	human571446
ImmGenATAC1219.peak_265523	human571445
ImmGenATAC1219.peak_265524	human571444
ImmGenATAC1219.peak_265525	human571443
ImmGenATAC1219.peak_265526	human571442
ImmGenATAC1219.peak_265527	human571438
ImmGenATAC1219.peak_265528	human571437
ImmGenATAC1219.peak_265529	human571436
ImmGenATAC1219.peak_265530	human571434
ImmGenATAC1219.peak_265532	human571432
ImmGenATAC1219.peak_265533	human571431
ImmGenATAC1219.peak_265536	human571429
ImmGenATAC1219.peak_265543	human571417
ImmGenATAC1219.peak_265545	human571409
ImmGenATAC1219.peak_265546	human571403
ImmGenATAC1219.peak_265547	human571402
ImmGenATAC1219.peak_265548	human571392
ImmGenATAC1219.peak_265549	human571391
ImmGenATAC1219.peak_265550	human571389
ImmGenATAC1219.peak_265551	human571386
ImmGenATAC1219.peak_265552	human571385
ImmGenATAC1219.peak_265553	human571384
ImmGenATAC1219.peak_265558	human571375
ImmGenATAC1219.peak_265563	human571370
ImmGenATAC1219.peak_265564	human571369
ImmGenATAC1219.peak_265567	human571368
ImmGenATAC1219.peak_265571	human571365
ImmGenATAC1219.peak_265575	human571359
ImmGenATAC1219.peak_265576	human571358
ImmGenATAC1219.peak_265579	human571356
ImmGenATAC1219.peak_265580	human571352
ImmGenATAC1219.peak_265582	human571349
ImmGenATAC1219.peak_265583	human571343
ImmGenATAC1219.peak_265586	human571342
ImmGenATAC1219.peak_265587	human571340
ImmGenATAC1219.peak_265590	human571336
ImmGenATAC1219.peak_265592	human571335
ImmGenATAC1219.peak_265594	human571332
ImmGenATAC1219.peak_265595	human571331
ImmGenATAC1219.peak_265599	human571328
ImmGenATAC1219.peak_265600	human571325
ImmGenATAC1219.peak_265601	human571324
ImmGenATAC1219.peak_265604	human571316
ImmGenATAC1219.peak_265605	human571315
ImmGenATAC1219.peak_265606	human571314
ImmGenATAC1219.peak_265607	human571311
ImmGenATAC1219.peak_265609	human571309
ImmGenATAC1219.peak_265611	human571307
ImmGenATAC1219.peak_265616	human571291
ImmGenATAC1219.peak_265617	human571290
ImmGenATAC1219.peak_265619	human571289
ImmGenATAC1219.peak_265621	human571286
ImmGenATAC1219.peak_265625	human571285
ImmGenATAC1219.peak_265626	human571283
ImmGenATAC1219.peak_265628	human571282
ImmGenATAC1219.peak_265629	human571281
ImmGenATAC1219.peak_265632	human571278
ImmGenATAC1219.peak_265636	human571274
ImmGenATAC1219.peak_265637	human571272
ImmGenATAC1219.peak_265639	human571270
ImmGenATAC1219.peak_265640	human571269
ImmGenATAC1219.peak_265642	human571267
ImmGenATAC1219.peak_265646	human571265
ImmGenATAC1219.peak_265649	human571263
ImmGenATAC1219.peak_265653	human571259
ImmGenATAC1219.peak_265654	human571253
ImmGenATAC1219.peak_265655	human571252
ImmGenATAC1219.peak_265659	human571244
ImmGenATAC1219.peak_265662	human571237
ImmGenATAC1219.peak_265664	human571236
ImmGenATAC1219.peak_265667	human571233
ImmGenATAC1219.peak_265670	human571228
ImmGenATAC1219.peak_265676	human571221
ImmGenATAC1219.peak_265677	human571220
ImmGenATAC1219.peak_265685	human571216
ImmGenATAC1219.peak_265687	human571215
ImmGenATAC1219.peak_265689	human571214
ImmGenATAC1219.peak_265690	human571213
ImmGenATAC1219.peak_265691	human571211
ImmGenATAC1219.peak_265697	human571200
ImmGenATAC1219.peak_265699	human571198
ImmGenATAC1219.peak_265700	human571197
ImmGenATAC1219.peak_265702	human571196
ImmGenATAC1219.peak_265703	human571195
ImmGenATAC1219.peak_265705	human571194
ImmGenATAC1219.peak_265708	human571193
ImmGenATAC1219.peak_265709	human571192
ImmGenATAC1219.peak_265711	human571191
ImmGenATAC1219.peak_265712	human571190
ImmGenATAC1219.peak_265714	human571189
ImmGenATAC1219.peak_265716	human571188
ImmGenATAC1219.peak_265720	human571185
ImmGenATAC1219.peak_265722	human571183
ImmGenATAC1219.peak_265728	human571180
ImmGenATAC1219.peak_265731	human571178
ImmGenATAC1219.peak_265732	human571176
ImmGenATAC1219.peak_265733	human571175
ImmGenATAC1219.peak_265735	human571171
ImmGenATAC1219.peak_265738	human571169
ImmGenATAC1219.peak_265741	human571165
ImmGenATAC1219.peak_265742	human571163
ImmGenATAC1219.peak_265745	human571162
ImmGenATAC1219.peak_265747	human571154
ImmGenATAC1219.peak_265750	human571153
ImmGenATAC1219.peak_265752	human571151
ImmGenATAC1219.peak_265766	human571142
ImmGenATAC1219.peak_265767	human571141
ImmGenATAC1219.peak_265769	human571140
ImmGenATAC1219.peak_265771	human571136
ImmGenATAC1219.peak_265776	human571113
ImmGenATAC1219.peak_265778	human571112
ImmGenATAC1219.peak_265780	human571108
ImmGenATAC1219.peak_265806	human571092
ImmGenATAC1219.peak_265811	human571085
ImmGenATAC1219.peak_265815	human571083
ImmGenATAC1219.peak_265832	human571075
ImmGenATAC1219.peak_265835	human571074
ImmGenATAC1219.peak_265837	human571070
ImmGenATAC1219.peak_265839	human571069
ImmGenATAC1219.peak_265842	human571061
ImmGenATAC1219.peak_265852	human571050
ImmGenATAC1219.peak_265854	human571048
ImmGenATAC1219.peak_265855	human571047
ImmGenATAC1219.peak_265858	human571046
ImmGenATAC1219.peak_265859	human571044
ImmGenATAC1219.peak_265867	human571038
ImmGenATAC1219.peak_265869	human571036
ImmGenATAC1219.peak_265871	human571035
ImmGenATAC1219.peak_265872	human571034
ImmGenATAC1219.peak_265874	human571030
ImmGenATAC1219.peak_265880	human571029
ImmGenATAC1219.peak_265909	human571016
ImmGenATAC1219.peak_265924	human571007
ImmGenATAC1219.peak_265932	human571002
ImmGenATAC1219.peak_265934	human571001
ImmGenATAC1219.peak_265937	human570997
ImmGenATAC1219.peak_265945	human570986
ImmGenATAC1219.peak_265946	human570985
ImmGenATAC1219.peak_265948	human570984
ImmGenATAC1219.peak_265949	human570983
ImmGenATAC1219.peak_265959	human570978
ImmGenATAC1219.peak_265962	human570969
ImmGenATAC1219.peak_265964	human570953
ImmGenATAC1219.peak_265965	human570952
ImmGenATAC1219.peak_265966	human570951
ImmGenATAC1219.peak_265968	human570943
ImmGenATAC1219.peak_265974	human570941
ImmGenATAC1219.peak_265978	human570933
ImmGenATAC1219.peak_265979	human570932
ImmGenATAC1219.peak_265981	human570931
ImmGenATAC1219.peak_265987	human570926
ImmGenATAC1219.peak_265991	human570914
ImmGenATAC1219.peak_265999	human570900
ImmGenATAC1219.peak_266006	human570890
ImmGenATAC1219.peak_266011	human570868
ImmGenATAC1219.peak_266015	human570863
ImmGenATAC1219.peak_266016	human570860
ImmGenATAC1219.peak_266024	human570845
ImmGenATAC1219.peak_266025	human570843
ImmGenATAC1219.peak_266036	human570833
ImmGenATAC1219.peak_266040	human570820
ImmGenATAC1219.peak_266041	human570817
ImmGenATAC1219.peak_266042	human570810
ImmGenATAC1219.peak_266043	human570808
ImmGenATAC1219.peak_266046	human570804
ImmGenATAC1219.peak_266047	human570803
ImmGenATAC1219.peak_266057	human570787
ImmGenATAC1219.peak_266062	human570786
ImmGenATAC1219.peak_266070	human570781
ImmGenATAC1219.peak_266072	human570778
ImmGenATAC1219.peak_266081	human570765
ImmGenATAC1219.peak_266096	human570762
ImmGenATAC1219.peak_266101	human570761
ImmGenATAC1219.peak_266103	human570760
ImmGenATAC1219.peak_266113	human570754
ImmGenATAC1219.peak_266114	human570751
ImmGenATAC1219.peak_266115	human570750
ImmGenATAC1219.peak_266116	human570749
ImmGenATAC1219.peak_266147	human570735
ImmGenATAC1219.peak_266171	human570713
ImmGenATAC1219.peak_266185	human570701
ImmGenATAC1219.peak_266191	human570693
ImmGenATAC1219.peak_266192	human570690
ImmGenATAC1219.peak_266194	human570679
ImmGenATAC1219.peak_266202	human570622
ImmGenATAC1219.peak_266205	human570614
ImmGenATAC1219.peak_266206	human570613
ImmGenATAC1219.peak_266207	human570612
ImmGenATAC1219.peak_266209	human570611
ImmGenATAC1219.peak_266211	human570610
ImmGenATAC1219.peak_266212	human570606
ImmGenATAC1219.peak_266221	human570592
ImmGenATAC1219.peak_266263	human570559
ImmGenATAC1219.peak_266266	human570558
ImmGenATAC1219.peak_266267	human570557
ImmGenATAC1219.peak_266269	human570551
ImmGenATAC1219.peak_266278	human570544
ImmGenATAC1219.peak_266295	human570532
ImmGenATAC1219.peak_266297	human570531
ImmGenATAC1219.peak_266301	human570524
ImmGenATAC1219.peak_266302	human570520
ImmGenATAC1219.peak_266308	human570512
ImmGenATAC1219.peak_266311	human570511
ImmGenATAC1219.peak_266318	human570508
ImmGenATAC1219.peak_266319	human570507
ImmGenATAC1219.peak_266320	human570501
ImmGenATAC1219.peak_266321	human570500
ImmGenATAC1219.peak_266322	human569118
ImmGenATAC1219.peak_266327	human569130
ImmGenATAC1219.peak_266336	human569137
ImmGenATAC1219.peak_266337	human569138
ImmGenATAC1219.peak_266345	human569145
ImmGenATAC1219.peak_266348	human569147
ImmGenATAC1219.peak_266350	human569153
ImmGenATAC1219.peak_266351	human569154
ImmGenATAC1219.peak_266354	human569156
ImmGenATAC1219.peak_266355	human569157
ImmGenATAC1219.peak_266362	human569159
ImmGenATAC1219.peak_266363	human569164
ImmGenATAC1219.peak_266366	human569170
ImmGenATAC1219.peak_266371	human569173
ImmGenATAC1219.peak_266372	human569174
ImmGenATAC1219.peak_266375	human569177
ImmGenATAC1219.peak_266379	human569185
ImmGenATAC1219.peak_266380	human569186
ImmGenATAC1219.peak_266381	human569187
ImmGenATAC1219.peak_266383	human569189
ImmGenATAC1219.peak_266385	human569191
ImmGenATAC1219.peak_266386	human569192
ImmGenATAC1219.peak_266387	human569193
ImmGenATAC1219.peak_266389	human569194
ImmGenATAC1219.peak_266394	human569199
ImmGenATAC1219.peak_266403	human569203
ImmGenATAC1219.peak_266412	human569204
ImmGenATAC1219.peak_266437	human569218
ImmGenATAC1219.peak_266439	human569220
ImmGenATAC1219.peak_266441	human569221
ImmGenATAC1219.peak_266444	human569225
ImmGenATAC1219.peak_266449	human569232
ImmGenATAC1219.peak_266467	human569243
ImmGenATAC1219.peak_266468	human569244
ImmGenATAC1219.peak_266476	human569251
ImmGenATAC1219.peak_266478	human569254
ImmGenATAC1219.peak_266481	human569259
ImmGenATAC1219.peak_266482	human569265
ImmGenATAC1219.peak_266484	human569266
ImmGenATAC1219.peak_266488	human569271
ImmGenATAC1219.peak_266489	human569272
ImmGenATAC1219.peak_266491	human569273
ImmGenATAC1219.peak_266494	human569281
ImmGenATAC1219.peak_266500	human569287
ImmGenATAC1219.peak_266503	human569288
ImmGenATAC1219.peak_266508	human569291
ImmGenATAC1219.peak_266518	human569297
ImmGenATAC1219.peak_266520	human569298
ImmGenATAC1219.peak_266522	human569299
ImmGenATAC1219.peak_266524	human569303
ImmGenATAC1219.peak_266525	human569306
ImmGenATAC1219.peak_266526	human569307
ImmGenATAC1219.peak_266529	human569310
ImmGenATAC1219.peak_266530	human569312
ImmGenATAC1219.peak_266531	human569314
ImmGenATAC1219.peak_266532	human569316
ImmGenATAC1219.peak_266534	human569318
ImmGenATAC1219.peak_266535	human569319
ImmGenATAC1219.peak_266538	human569323
ImmGenATAC1219.peak_266539	human569325
ImmGenATAC1219.peak_266544	human569328
ImmGenATAC1219.peak_266546	human569330
ImmGenATAC1219.peak_266549	human569333
ImmGenATAC1219.peak_266555	human569342
ImmGenATAC1219.peak_266557	human569346
ImmGenATAC1219.peak_266561	human569348
ImmGenATAC1219.peak_266563	human569350
ImmGenATAC1219.peak_266564	human569354
ImmGenATAC1219.peak_266565	human569357
ImmGenATAC1219.peak_266567	human569361
ImmGenATAC1219.peak_266572	human569369
ImmGenATAC1219.peak_266589	human569377
ImmGenATAC1219.peak_266592	human569381
ImmGenATAC1219.peak_266596	human569382
ImmGenATAC1219.peak_266601	human569384
ImmGenATAC1219.peak_266609	human569388
ImmGenATAC1219.peak_266622	human569390
ImmGenATAC1219.peak_266626	human569391
ImmGenATAC1219.peak_266628	human569392
ImmGenATAC1219.peak_266638	human569395
ImmGenATAC1219.peak_266644	human569396
ImmGenATAC1219.peak_266645	human569397
ImmGenATAC1219.peak_266646	human569398
ImmGenATAC1219.peak_266647	human569399
ImmGenATAC1219.peak_266675	human569402
ImmGenATAC1219.peak_266678	human569403
ImmGenATAC1219.peak_266685	human569408
ImmGenATAC1219.peak_266693	human569413
ImmGenATAC1219.peak_266695	human569414
ImmGenATAC1219.peak_266699	human569417
ImmGenATAC1219.peak_266703	human569430
ImmGenATAC1219.peak_266715	human569439
ImmGenATAC1219.peak_266717	human569440
ImmGenATAC1219.peak_266720	human569442
ImmGenATAC1219.peak_266721	human569444
ImmGenATAC1219.peak_266722	human569445
ImmGenATAC1219.peak_266732	human569455
ImmGenATAC1219.peak_266735	human569460
ImmGenATAC1219.peak_266736	human569461
ImmGenATAC1219.peak_266740	human569464
ImmGenATAC1219.peak_266743	human569467
ImmGenATAC1219.peak_266745	human569470
ImmGenATAC1219.peak_266748	human569472
ImmGenATAC1219.peak_266759	human569481
ImmGenATAC1219.peak_266763	human569487
ImmGenATAC1219.peak_266764	human569488
ImmGenATAC1219.peak_266765	human569489
ImmGenATAC1219.peak_266766	human569490
ImmGenATAC1219.peak_266770	human569495
ImmGenATAC1219.peak_266771	human569496
ImmGenATAC1219.peak_266774	human569499
ImmGenATAC1219.peak_266777	human569500
ImmGenATAC1219.peak_266779	human569501
ImmGenATAC1219.peak_266781	human569502
ImmGenATAC1219.peak_266782	human569503
ImmGenATAC1219.peak_266786	human569507
ImmGenATAC1219.peak_266787	human569508
ImmGenATAC1219.peak_266789	human569510
ImmGenATAC1219.peak_266792	human569513
ImmGenATAC1219.peak_266794	human569514
ImmGenATAC1219.peak_266797	human569518
ImmGenATAC1219.peak_266798	human569519
ImmGenATAC1219.peak_266800	human569524
ImmGenATAC1219.peak_266803	human569525
ImmGenATAC1219.peak_266806	human569529
ImmGenATAC1219.peak_266811	human569533
ImmGenATAC1219.peak_266814	human569535
ImmGenATAC1219.peak_266815	human569537
ImmGenATAC1219.peak_266816	human569538
ImmGenATAC1219.peak_266817	human569539
ImmGenATAC1219.peak_266833	human569555
ImmGenATAC1219.peak_266837	human569556
ImmGenATAC1219.peak_266846	human569560
ImmGenATAC1219.peak_266854	human569566
ImmGenATAC1219.peak_266860	human569571
ImmGenATAC1219.peak_266863	human569572
ImmGenATAC1219.peak_266865	human569573
ImmGenATAC1219.peak_266882	human569583
ImmGenATAC1219.peak_266890	human569586
ImmGenATAC1219.peak_266892	human569587
ImmGenATAC1219.peak_266893	human569588
ImmGenATAC1219.peak_266894	human569589
ImmGenATAC1219.peak_266900	human569595
ImmGenATAC1219.peak_266912	human569606
ImmGenATAC1219.peak_266913	human569607
ImmGenATAC1219.peak_266915	human569608
ImmGenATAC1219.peak_266916	human569611
ImmGenATAC1219.peak_266917	human569613
ImmGenATAC1219.peak_266918	human571592
ImmGenATAC1219.peak_266923	human569615
ImmGenATAC1219.peak_266928	human569623
ImmGenATAC1219.peak_266929	human569624
ImmGenATAC1219.peak_266932	human569628
ImmGenATAC1219.peak_266934	human569629
ImmGenATAC1219.peak_266939	human569631
ImmGenATAC1219.peak_266945	human569636
ImmGenATAC1219.peak_266946	human569638
ImmGenATAC1219.peak_266947	human569639
ImmGenATAC1219.peak_266949	human569640
ImmGenATAC1219.peak_266958	human569648
ImmGenATAC1219.peak_266960	human569652
ImmGenATAC1219.peak_266961	human569653
ImmGenATAC1219.peak_266962	human569654
ImmGenATAC1219.peak_266966	human569665
ImmGenATAC1219.peak_266968	human569666
ImmGenATAC1219.peak_266969	human569667
ImmGenATAC1219.peak_266970	human569668
ImmGenATAC1219.peak_266971	human569669
ImmGenATAC1219.peak_266973	human569670
ImmGenATAC1219.peak_266981	human569678
ImmGenATAC1219.peak_266982	human569679
ImmGenATAC1219.peak_266989	human569684
ImmGenATAC1219.peak_266997	human569690
ImmGenATAC1219.peak_266998	human569691
ImmGenATAC1219.peak_267000	human569696
ImmGenATAC1219.peak_267001	human569697
ImmGenATAC1219.peak_267004	human569699
ImmGenATAC1219.peak_267007	human569705
ImmGenATAC1219.peak_267010	human569707
ImmGenATAC1219.peak_267012	human569709
ImmGenATAC1219.peak_267013	human569710
ImmGenATAC1219.peak_267014	human569711
ImmGenATAC1219.peak_267015	human569712
ImmGenATAC1219.peak_267021	human569715
ImmGenATAC1219.peak_267025	human569719
ImmGenATAC1219.peak_267028	human569721
ImmGenATAC1219.peak_267029	human569722
ImmGenATAC1219.peak_267030	human569724
ImmGenATAC1219.peak_267038	human569727
ImmGenATAC1219.peak_267039	human569728
ImmGenATAC1219.peak_267048	human569733
ImmGenATAC1219.peak_267059	human569763
ImmGenATAC1219.peak_267060	human569766
ImmGenATAC1219.peak_267061	human569768
ImmGenATAC1219.peak_267062	human569772
ImmGenATAC1219.peak_267073	human569787
ImmGenATAC1219.peak_267078	human569788
ImmGenATAC1219.peak_267082	human569792
ImmGenATAC1219.peak_267085	human569793
ImmGenATAC1219.peak_267087	human569796
ImmGenATAC1219.peak_267088	human569797
ImmGenATAC1219.peak_267104	human569857
ImmGenATAC1219.peak_267120	human569878
ImmGenATAC1219.peak_267125	human569889
ImmGenATAC1219.peak_267126	human569890
ImmGenATAC1219.peak_267127	human569891
ImmGenATAC1219.peak_267130	human569892
ImmGenATAC1219.peak_267138	human569897
ImmGenATAC1219.peak_267140	human569898
ImmGenATAC1219.peak_267141	human569899
ImmGenATAC1219.peak_267142	human569900
ImmGenATAC1219.peak_267143	human569901
ImmGenATAC1219.peak_267145	human569902
ImmGenATAC1219.peak_267154	human569910
ImmGenATAC1219.peak_267157	human569916
ImmGenATAC1219.peak_267159	human569917
ImmGenATAC1219.peak_267162	human569921
ImmGenATAC1219.peak_267163	human569922
ImmGenATAC1219.peak_267164	human569923
ImmGenATAC1219.peak_267167	human569925
ImmGenATAC1219.peak_267169	human569926
ImmGenATAC1219.peak_267170	human569928
ImmGenATAC1219.peak_267171	human569929
ImmGenATAC1219.peak_267177	human569942
ImmGenATAC1219.peak_267179	human569949
ImmGenATAC1219.peak_267184	human569971
ImmGenATAC1219.peak_267188	human569981
ImmGenATAC1219.peak_267192	human569984
ImmGenATAC1219.peak_267195	human569988
ImmGenATAC1219.peak_267201	human569993
ImmGenATAC1219.peak_267222	human570005
ImmGenATAC1219.peak_267225	human570010
ImmGenATAC1219.peak_267242	human570018
ImmGenATAC1219.peak_267253	human570032
ImmGenATAC1219.peak_267258	human570033
ImmGenATAC1219.peak_267260	human570035
ImmGenATAC1219.peak_267268	human570038
ImmGenATAC1219.peak_267277	human570050
ImmGenATAC1219.peak_267285	human570054
ImmGenATAC1219.peak_267296	human570064
ImmGenATAC1219.peak_267318	human570077
ImmGenATAC1219.peak_267319	human570079
ImmGenATAC1219.peak_267320	human570080
ImmGenATAC1219.peak_267322	human570081
ImmGenATAC1219.peak_267332	human570089
ImmGenATAC1219.peak_267338	human570095
ImmGenATAC1219.peak_267339	human570096
ImmGenATAC1219.peak_267340	human570098
ImmGenATAC1219.peak_267341	human570099
ImmGenATAC1219.peak_267342	human570100
ImmGenATAC1219.peak_267344	human570101
ImmGenATAC1219.peak_267346	human570103
ImmGenATAC1219.peak_267347	human570104
ImmGenATAC1219.peak_267349	human570109
ImmGenATAC1219.peak_267354	human570120
ImmGenATAC1219.peak_267356	human570121
ImmGenATAC1219.peak_267357	human570125
ImmGenATAC1219.peak_267358	human570127
ImmGenATAC1219.peak_267359	human570128
ImmGenATAC1219.peak_267367	human570138
ImmGenATAC1219.peak_267370	human570144
ImmGenATAC1219.peak_267378	human570153
ImmGenATAC1219.peak_267383	human570159
ImmGenATAC1219.peak_267386	human570167
ImmGenATAC1219.peak_267388	human570168
ImmGenATAC1219.peak_267391	human570169
ImmGenATAC1219.peak_267393	human570171
ImmGenATAC1219.peak_267394	human570172
ImmGenATAC1219.peak_267396	human570175
ImmGenATAC1219.peak_267398	human570176
ImmGenATAC1219.peak_267407	human570181
ImmGenATAC1219.peak_267411	human570183
ImmGenATAC1219.peak_267415	human570186
ImmGenATAC1219.peak_267416	human570188
ImmGenATAC1219.peak_267417	human570191
ImmGenATAC1219.peak_267419	human570197
ImmGenATAC1219.peak_267420	human570198
ImmGenATAC1219.peak_267421	human570200
ImmGenATAC1219.peak_267425	human570207
ImmGenATAC1219.peak_267427	human570209
ImmGenATAC1219.peak_267428	human570210
ImmGenATAC1219.peak_267430	human570211
ImmGenATAC1219.peak_267433	human570212
ImmGenATAC1219.peak_267434	human570213
ImmGenATAC1219.peak_267436	human570217
ImmGenATAC1219.peak_267438	human570221
ImmGenATAC1219.peak_267441	human570226
ImmGenATAC1219.peak_267448	human570234
ImmGenATAC1219.peak_267455	human570237
ImmGenATAC1219.peak_267463	human570254
ImmGenATAC1219.peak_267474	human570260
ImmGenATAC1219.peak_267476	human570261
ImmGenATAC1219.peak_267480	human570265
ImmGenATAC1219.peak_267481	human570266
ImmGenATAC1219.peak_267482	human570269
ImmGenATAC1219.peak_267483	human570270
ImmGenATAC1219.peak_267485	human570271
ImmGenATAC1219.peak_267489	human570278
ImmGenATAC1219.peak_267492	human570280
ImmGenATAC1219.peak_267495	human570285
ImmGenATAC1219.peak_267499	human570290
ImmGenATAC1219.peak_267506	human570302
ImmGenATAC1219.peak_267508	human570305
ImmGenATAC1219.peak_267509	human570308
ImmGenATAC1219.peak_267514	human570318
ImmGenATAC1219.peak_267516	human570319
ImmGenATAC1219.peak_267517	human570320
ImmGenATAC1219.peak_267522	human570325
ImmGenATAC1219.peak_267529	human570330
ImmGenATAC1219.peak_267533	human570338
ImmGenATAC1219.peak_267537	human570343
ImmGenATAC1219.peak_267539	human570356
ImmGenATAC1219.peak_267541	human570357
ImmGenATAC1219.peak_267544	human570358
ImmGenATAC1219.peak_267550	human570364
ImmGenATAC1219.peak_267552	human570370
ImmGenATAC1219.peak_267557	human570381
ImmGenATAC1219.peak_267559	human570390
ImmGenATAC1219.peak_267562	human570391
ImmGenATAC1219.peak_267563	human570397
ImmGenATAC1219.peak_267566	human570401
ImmGenATAC1219.peak_267572	human570405
ImmGenATAC1219.peak_267574	human570407
ImmGenATAC1219.peak_267576	human570412
ImmGenATAC1219.peak_267577	human570414
ImmGenATAC1219.peak_267578	human570415
ImmGenATAC1219.peak_267591	human570420
ImmGenATAC1219.peak_267593	human570422
ImmGenATAC1219.peak_267595	human570428
ImmGenATAC1219.peak_267598	human570437
ImmGenATAC1219.peak_267601	human570441
ImmGenATAC1219.peak_267603	human570442
ImmGenATAC1219.peak_267604	human570443
ImmGenATAC1219.peak_267606	human570446
ImmGenATAC1219.peak_267607	human570449
